team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
ARI,2002,46,22,7,65,25,1,187,21,0,0,0,0
ATL,2002,35,18,6,72,39,0,190,20,0,0,0,1
BAL,2002,33,29,4,78,31,2,191,14,0,0,0,0
BUF,2002,44,19,7,71,19,0,188,28,0,0,0,0
CAR,2002,30,24,5,103,33,0,212,17,0,0,0,0
CHI,2002,37,37,7,78,28,1,202,14,0,0,0,0
CIN,2002,46,23,8,65,20,1,179,16,0,0,0,0
CLE,2002,32,28,9,76,29,0,189,15,0,0,0,1
DAL,2002,32,27,11,94,30,2,209,13,0,0,0,0
DEN,2002,36,25,7,77,22,0,177,10,0,0,0,0
DET,2002,46,29,4,80,24,0,202,19,0,0,0,0
GB,2002,38,16,6,76,45,0,198,17,0,0,0,1
HOU,2002,37,24,10,98,21,2,210,18,0,0,0,0
IND,2002,35,21,5,74,27,0,178,16,0,0,0,1
JAX,2002,33,23,11,65,27,0,176,17,0,0,0,0
KC,2002,46,26,6,60,31,0,182,13,0,0,0,0
LV,2002,35,17,6,71,31,0,181,21,0,0,0,1
LAC,2002,41,21,10,83,27,1,196,13,0,0,0,0
LAR,2002,30,26,4,70,26,0,181,25,0,0,0,0
MIA,2002,29,28,2,80,30,0,188,19,0,0,0,0
MIN,2002,48,21,7,65,23,0,187,23,0,0,0,0
NE,2002,40,20,14,68,29,0,187,16,0,0,0,0
NO,2002,43,23,5,73,38,1,196,13,0,0,0,0
NYG,2002,29,21,10,84,25,1,185,15,0,0,0,1
NYJ,2002,34,26,5,62,23,0,165,15,0,0,0,1
PHI,2002,23,17,4,90,38,0,194,22,0,0,0,1
PIT,2002,35,20,6,77,36,0,188,14,0,0,0,1
SF,2002,37,22,8,65,27,0,169,10,0,0,0,1
SEA,2002,39,22,4,65,30,0,177,17,0,0,0,0
TB,2002,18,17,6,99,38,0,197,19,0,0,0,1
TEN,2002,34,14,7,77,29,0,177,16,0,0,0,1
WAS,2002,33,31,3,86,26,0,192,13,0,0,0,0
ARI,2003,46,21,7,67,23,3,185,18,0,0,0,0
ATL,2003,49,19,6,82,31,4,203,12,0,0,0,0
BAL,2003,25,28,3,105,41,0,218,16,0,0,0,1
BUF,2003,29,23,8,93,18,0,193,22,0,0,0,0
CAR,2003,29,21,11,90,26,0,190,13,0,0,0,1
CHI,2003,33,31,7,76,20,0,186,19,0,0,0,0
CIN,2003,41,28,5,67,24,0,181,16,0,0,0,0
CLE,2003,27,35,8,76,22,0,178,10,0,0,0,0
DAL,2003,25,21,2,105,25,1,197,18,0,0,0,1
DEN,2003,28,25,3,85,20,1,185,23,0,0,0,1
DET,2003,40,17,7,84,28,0,192,16,0,0,0,0
GB,2003,28,30,3,83,32,0,196,20,0,0,0,1
HOU,2003,37,28,7,75,22,2,184,13,0,0,0,0
IND,2003,37,16,5,74,30,0,176,14,0,0,0,1
JAX,2003,35,24,3,75,27,1,182,17,0,0,0,0
KC,2003,37,19,6,73,37,1,190,17,0,0,0,1
LV,2003,42,28,6,82,25,0,200,17,0,0,0,0
LAC,2003,48,23,3,74,20,1,191,22,0,0,0,0
LAR,2003,32,19,5,74,46,1,194,17,0,0,0,1
MIA,2003,23,26,5,80,36,2,194,22,0,0,0,0
MIN,2003,39,21,5,64,35,0,178,14,0,0,0,0
NE,2003,21,25,10,90,41,1,200,12,0,0,0,1
NO,2003,32,25,6,76,27,0,184,18,0,0,0,0
NYG,2003,37,28,9,82,22,1,201,22,0,0,0,0
NYJ,2003,31,20,7,66,20,0,168,24,0,0,0,0
PHI,2003,30,22,8,78,26,0,187,23,0,0,0,1
PIT,2003,34,21,3,91,25,1,195,20,0,0,0,0
SF,2003,38,17,9,76,37,0,187,10,0,0,0,0
SEA,2003,33,25,6,76,28,0,188,20,0,0,0,1
TB,2003,22,25,9,82,33,0,189,18,0,0,0,0
TEN,2003,30,26,4,78,34,1,188,15,0,0,0,1
WAS,2003,43,19,12,71,30,0,188,13,0,0,0,0
ARI,2004,30,25,1,97,30,0,203,20,0,0,0,0
ATL,2004,39,16,2,80,32,1,185,15,0,0,0,1
BAL,2004,23,26,5,94,34,1,199,16,0,0,0,0
BUF,2004,26,27,5,79,39,0,192,16,0,0,0,0
CAR,2004,37,20,8,64,38,0,187,20,0,0,0,0
CHI,2004,32,26,10,92,29,1,216,26,0,0,0,0
CIN,2004,34,28,3,79,36,1,195,14,0,0,0,0
CLE,2004,39,24,4,85,28,1,195,14,0,0,0,0
DAL,2004,45,21,2,78,22,0,185,17,0,0,0,0
DEN,2004,33,21,5,95,20,0,192,18,0,0,0,1
DET,2004,39,17,3,84,24,1,189,21,0,0,0,0
GB,2004,45,17,8,81,15,0,181,15,0,0,0,1
HOU,2004,36,22,7,69,30,1,178,13,0,0,0,0
IND,2004,38,25,6,52,36,0,178,21,0,0,0,1
JAX,2004,25,21,7,74,28,0,174,19,0,0,0,0
KC,2004,50,21,6,64,21,0,183,21,0,0,0,0
LV,2004,51,17,8,68,18,0,183,21,0,0,0,0
LAC,2004,34,20,7,64,33,0,183,25,0,0,0,1
LAR,2004,37,31,5,71,15,0,181,22,0,0,0,1
MIA,2004,32,20,8,102,25,0,205,18,0,0,0,0
MIN,2004,45,24,3,59,22,1,166,12,0,0,0,1
NE,2004,27,15,3,69,36,0,175,25,0,0,0,1
NO,2004,40,31,4,71,33,1,194,14,0,0,0,0
NYG,2004,41,20,5,77,28,0,191,20,0,0,0,0
NYJ,2004,29,16,3,89,33,1,178,7,0,0,0,1
PHI,2004,29,17,7,89,28,0,183,13,0,0,0,1
PIT,2004,22,23,4,79,32,0,174,14,0,0,0,1
SF,2004,49,25,4,80,21,0,195,16,0,0,0,0
SEA,2004,41,27,5,74,35,1,193,10,0,0,0,1
TB,2004,29,20,11,87,27,0,187,13,0,0,0,0
TEN,2004,47,23,5,74,30,3,192,10,0,0,0,0
WAS,2004,24,17,3,104,26,1,198,23,0,0,0,0
ARI,2005,39,21,3,85,26,1,198,23,0,0,0,0
ATL,2005,36,25,5,79,29,0,190,16,0,0,0,0
BAL,2005,26,29,2,89,26,1,190,17,0,0,0,0
BUF,2005,41,19,6,62,30,1,177,18,0,0,0,0
CAR,2005,24,23,4,79,42,0,187,15,0,0,0,1
CHI,2005,19,21,8,97,34,0,203,24,0,0,0,1
CIN,2005,37,25,3,50,44,0,179,20,0,0,0,1
CLE,2005,30,28,7,72,23,0,179,19,0,0,0,0
DAL,2005,31,21,6,95,26,0,190,11,0,0,0,0
DEN,2005,30,14,4,81,36,0,176,11,0,0,0,1
DET,2005,34,24,6,72,31,0,184,17,0,0,0,0
GB,2005,32,29,5,85,21,0,192,20,0,0,0,0
HOU,2005,45,28,4,63,16,0,174,18,0,0,0,0
IND,2005,26,19,8,67,31,0,167,16,0,0,0,1
JAX,2005,26,20,7,88,28,0,185,16,0,0,0,1
KC,2005,36,20,6,69,31,0,177,15,0,0,0,0
LV,2005,36,35,3,76,19,1,184,14,0,0,0,0
LAC,2005,34,20,9,78,20,1,188,26,0,0,0,0
LAR,2005,48,26,7,68,27,0,193,17,0,0,0,0
MIA,2005,34,24,0,92,31,1,196,14,0,0,0,0
MIN,2005,37,28,5,72,35,1,189,11,0,0,0,0
NE,2005,36,24,6,81,18,1,182,16,0,0,0,1
NO,2005,36,31,8,76,19,2,179,7,0,0,0,0
NYG,2005,32,21,9,88,37,0,200,13,0,0,0,0
NYJ,2005,36,30,5,62,28,0,184,23,0,0,0,1
PHI,2005,39,22,5,104,27,0,209,12,0,0,0,0
PIT,2005,25,24,6,80,30,0,181,16,0,0,0,1
SF,2005,47,29,7,71,26,0,201,21,0,0,0,0
SEA,2005,23,34,8,77,27,0,187,18,0,0,0,1
TB,2005,25,26,7,80,30,0,184,16,0,0,0,1
TEN,2005,45,21,6,85,20,0,195,18,0,0,0,0
WAS,2005,30,22,9,88,28,1,196,18,0,0,0,1
ARI,2006,37,31,3,58,33,1,181,18,0,0,0,0
ATL,2006,34,23,6,77,26,0,179,13,0,0,0,0
BAL,2006,21,17,6,86,40,1,195,24,0,0,0,1
BUF,2006,32,22,4,86,24,1,187,18,0,0,0,0
CAR,2006,32,24,6,98,22,0,195,13,0,0,0,0
CHI,2006,25,18,9,100,44,0,209,13,0,0,0,1
CIN,2006,39,18,7,72,31,0,186,19,0,0,0,0
