team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
ARI,2002,28,15,6,89,35,0,188,14,1,0,0,0
ATL,2002,41,32,8,67,27,0,189,14,0,0,0,1
BAL,2002,29,21,5,84,32,0,185,12,2,0,0,0
BUF,2002,41,25,8,67,31,0,184,11,1,0,0,0
CAR,2002,26,15,10,105,40,1,211,13,1,0,0,0
CHI,2002,30,22,6,87,35,0,199,19,0,0,0,0
CIN,2002,30,15,3,73,35,0,183,26,1,0,0,0
CLE,2002,37,22,6,83,31,0,191,12,0,0,0,1
DAL,2002,21,12,7,113,34,0,203,15,1,0,0,0
DEN,2002,42,26,10,55,27,1,181,18,2,0,0,0
DET,2002,28,23,5,91,31,0,196,18,0,0,0,0
GB,2002,41,28,6,79,28,0,198,16,0,0,0,1
HOU,2002,17,17,7,116,29,3,201,10,2,0,0,0
IND,2002,39,23,8,67,32,0,183,13,1,0,0,1
JAX,2002,37,19,8,81,15,2,178,16,0,0,0,0
KC,2002,53,23,4,65,15,0,178,17,1,0,0,0
LV,2002,47,26,7,59,19,0,171,12,1,0,0,1
LAC,2002,36,18,8,89,24,1,191,13,2,0,0,0
LAR,2002,35,19,6,72,45,0,189,12,0,0,0,0
MIA,2002,42,24,7,69,30,0,191,19,0,0,0,0
MIN,2002,45,23,6,63,41,1,191,11,1,0,0,0
NE,2002,37,27,3,71,24,0,185,22,1,0,0,0
NO,2002,43,31,4,69,30,0,192,15,0,0,0,0
NYG,2002,33,26,6,71,27,0,189,26,0,0,0,1
NYJ,2002,37,24,7,64,19,0,169,18,0,0,0,1
PHI,2002,42,30,4,79,24,0,200,21,0,0,0,1
PIT,2002,41,29,11,63,36,0,196,15,1,0,0,1
SF,2002,39,26,10,65,17,0,173,15,1,0,0,1
SEA,2002,36,23,6,61,28,0,179,25,0,0,0,0
TB,2002,29,32,7,91,21,2,187,5,0,0,0,1
TEN,2002,38,25,6,66,25,0,182,21,1,0,0,1
WAS,2002,34,16,9,73,40,1,197,23,1,0,0,0
ARI,2003,23,18,8,83,36,0,185,16,1,0,0,0
ATL,2003,31,19,8,87,31,0,201,25,0,0,0,0
BAL,2003,34,34,6,91,38,0,217,14,0,0,0,1
BUF,2003,24,17,7,85,34,3,187,17,0,0,0,0
CAR,2003,28,32,6,81,31,1,195,13,3,0,0,1
CHI,2003,25,26,10,81,29,0,186,13,2,0,0,0
CIN,2003,38,22,3,77,22,0,180,18,0,0,0,0
CLE,2003,25,23,5,73,33,0,180,21,0,0,0,0
DAL,2003,28,23,6,95,29,2,203,20,0,0,0,1
DEN,2003,39,28,4,70,24,1,183,15,2,0,0,1
DET,2003,22,22,1,96,28,0,190,20,1,0,0,0
GB,2003,50,23,3,71,32,0,192,13,0,0,0,1
