date,home,away,home_score,away_score,overtime,playoff,neutral,home_odds,away_odds,home_line,over_under
2024-02-11,KC,SF,25,22,Y,Y,Y,2.00,1.83,1.5,47.5
2024-01-28,SF,DET,34,31,,Y,,1.32,3.50,-7.0,51.5
2024-01-28,BAL,KC,10,17,,Y,,1.59,2.45,-3.5,44.5
2024-01-21,BUF,KC,24,27,,Y,,1.71,2.20,-2.5,46.0
2024-01-21,DET,TB,31,23,,Y,,1.40,3.05,-5.5,48.5
2024-01-21,SF,GB,24,21,,Y,,1.20,4.75,-9.5,48.5
2024-01-20,BAL,HOU,34,10,,Y,,1.22,4.50,-9.5,46.0
2024-01-15,TB,PHI,32,9,,Y,,2.20,1.71,2.5,44.5
2024-01-15,BUF,PIT,31,17,,Y,,1.20,4.75,-9.5,39.5
2024-01-14,DET,LAR,24,23,,Y,,1.59,2.45,-3.0,51.5
2024-01-14,DAL,GB,32,48,,Y,,1.29,3.70,-7.0,48.5
2024-01-13,KC,MIA,26,7,,Y,,1.56,2.50,-3.5,44.0
2024-01-13,HOU,CLE,45,14,,Y,,2.05,1.80,1.5,43.5
2024-01-07,MIA,BUF,14,21,,,,2.35,1.63,3.0,50.0
2024-01-07,ARI,SEA,20,21,,,,2.45,1.59,3.0,47.5
2024-01-07,CAR,TB,0,9,,,,2.95,1.42,6.0,37.0
2024-01-07,CIN,CLE,31,14,,,,1.56,2.50,-4.0,40.0
2024-01-07,DET,MIN,30,20,,,,1.54,2.55,-4.0,44.0
2024-01-07,GB,CHI,17,9,,,,1.80,2.05,-1.5,44.0
2024-01-07,IND,HOU,19,23,,,,1.80,2.05,-1.5,46.5
2024-01-07,LAC,KC,12,13,,,,1.87,1.95,-1.0,35.5
2024-01-07,LV,DEN,27,14,,,,1.71,2.20,-2.5,38.0
2024-01-07,NE,NYJ,3,17,,,,1.77,2.10,-2.0,37.5
2024-01-07,NO,ATL,48,17,,,,1.59,2.45,-3.5,42.5
2024-01-07,NYG,PHI,27,10,,,,3.20,1.37,6.5,46.0
2024-01-07,SF,LAR,20,21,,,,1.74,2.15,-2.5,44.0
2024-01-07,TEN,JAX,28,20,,,,2.50,1.56,3.5,40.5
2024-01-07,WAS,DAL,10,38,,,,6.00,1.14,13.0,49.5
2024-01-06,BAL,PIT,10,17,,,,2.50,1.56,3.5,38.0
2023-12-31,MIN,GB,10,33,,,,1.80,2.05,-1.5,43.5
2023-12-31,DEN,LAC,16,9,,,,1.37,3.20,-6.0,38.0
2023-12-31,SEA,PIT,23,30,,,,1.56,2.50,-3.5,41.0
2023-12-31,KC,CIN,25,17,,,,1.61,2.45,-3.5,50.5
2023-12-31,BAL,MIA,56,19,,,,1.65,2.30,-3.0,46.5
2023-12-31,BUF,NE,27,21,,,,1.14,6.00,-12.0,40.0
2023-12-31,CHI,ATL,37,17,,,,1.74,2.15,-2.5,37.5
2023-12-31,HOU,TEN,26,3,,,,1.45,2.80,-4.5,43.0
2023-12-31,IND,LV,23,20,,,,1.63,2.35,-3.0,44.0
2023-12-31,JAX,CAR,26,0,,,,1.32,3.50,-7.0,39.5
2023-12-31,NYG,LAR,25,26,,,,3.00,1.41,6.0,41.0
2023-12-31,PHI,ARI,31,35,,,,1.19,4.90,-10.0,47.5
2023-12-31,TB,NO,13,23,,,,1.77,2.10,-2.0,41.5
2023-12-31,WAS,SF,10,27,,,,6.75,1.12,13.5,48.0
2023-12-30,DAL,DET,20,19,,,,1.43,2.90,-5.5,50.5
2023-12-28,CLE,NYJ,37,20,,,,1.44,2.85,-4.5,35.5
2023-12-25,SF,BAL,19,33,,,,1.50,2.65,-4.5,45.5
2023-12-25,PHI,NYG,33,25,,,,1.29,3.70,-7.5,47.5
2023-12-25,KC,LV,14,20,,,,1.25,4.20,-9.5,51.5
2023-12-24,DEN,NE,23,26,,,,1.41,3.00,-5.5,36.5
2023-12-24,CHI,ARI,27,16,,,,1.61,2.40,-3.0,43.5
2023-12-24,MIA,DAL,22,20,,,,1.83,2.00,-1.5,52.5
2023-12-24,TB,JAX,30,12,,,,2.20,1.71,2.5,44.5
